Date,Athlete_Name,MPH,Spin_Direction,Gyro_Degree,Vertical_Break_Inches,Horizontal_Break_Inches,Total_Spin,Spin_Efficiency,True_Spin,Release_Angle,Release_Height,Horizontal_Angle,Release_Size,Pitch_Count,Pitch_Type,Strike,pitch_horizontal_offset,pitch_vertical_offset
2022-09-06,Martin,76.8,0:40,49,14,4.7,2082,65,1359,-1,4.8,-2,1.2,1,4 Seam Fastball,No,-6.923611111,-15.81726968
2022-09-06,Martin,77.1,0:34,41,16.3,4.6,2082,76,1580,1,4.9,-2,1.1,2,4 Seam Fastball,Yes,1.052388889,-5.071436343
2022-09-06,Martin,76.6,0:48,39,16.8,7.1,2166,78,1679,-3,4.8,-2,1.2,3,4 Seam Fastball,No,-0.2769444444,-17.42914468
2022-09-06,Martin,75.9,0:36,50,14,3.9,2093,64,1335,0,4.8,-2,1.3,4,4 Seam Fastball,Yes,-8.252944444,-11.51893634
2022-09-06,Martin,77.1,0:36,40,16.5,5.1,2055,76,1569,2,4.9,-2,1,5,4 Seam Fastball,No,-10.33002778,13.41139699
2022-09-06,Martin,76.1,0:30,42,16.6,3.9,2173,75,1623,1,4.8,-2,1,6,4 Seam Fastball,No,-11.07777778,2.773021991
2022-09-06,Martin,75.5,0:36,39,17.1,5.2,2094,77,1623,-1,4.8,-3,0.9,7,4 Seam Fastball,No,-13.15486111,-6.247103009
2022-09-06,Martin,75.8,0:58,36,16.1,8.5,1972,81,1588,1,4.8,-2,1.3,8,4 Seam Fastball,Yes,-0.02769444444,3.847605324
2022-09-06,Martin,69.2,9:06,73,0.5,-8.4,2109,29,610,2,4.7,-1,1.1,9,Slider,Yes,2.215555556,-8.080269676
2022-09-06,Martin,70.7,9:58,79,2.5,-5.5,2219,19,418,2,4.8,-1,1,10,Slider,Yes,-0.5261944444,-2.062603009
2022-09-06,Martin,70.4,10:24,85,1.5,-2.9,2224,8,183,2,4.7,-3,1.4,11,Slider,No,-13.15486111,-11.62639468
2022-09-06,Martin,70.7,9:18,73,1.5,-8.5,2267,30,672,2,4.8,-2,1.1,12,Slider,Yes,-9.333027778,-7.865353009
2022-09-06,Martin,69.1,8:46,79,-0.5,-6,2202,18,406,1,4.8,-2,1.1,13,Slider,No,-10.57927778,-14.20539468
2022-09-06,Martin,69.4,10:50,85,1.9,-2.7,2262,9,197,2,4.7,-3,1.1,14,Slider,No,-12.98869444,-13.45318634
2022-09-06,Martin,69.8,10:38,83,2.2,-3.2,2104,11,239,1,4.7,-3,1.1,15,Slider,No,-12.98869444,-15.70981134
2022-09-06,Martin,40.8,1:22,41,12.9,10.7,1900,76,1444,2,4.8,-2,1.1,17,Changeup,Yes,-1.772444444,1.805896991
2022-09-06,Martin,68.4,0:58,38,16.6,8.8,1920,79,1508,2,4.7,-1,1.1,18,Changeup,No,12.85022222,-9.584686343
2022-09-06,Martin,71,1:00,33,16.7,9.1,1936,84,1625,2,4.8,-3,1,19,Changeup,Yes,-5.345027778,8.575771991
2022-09-06,Martin,70.2,1:10,45,13.1,8.5,1886,70,1322,1,4.9,-3,1.1,20,Changeup,Yes,-7.172861111,-4.534144676
2022-09-06,Martin,70.6,0:50,52,12.8,5.4,1991,62,1235,2,4.8,-1,1.2,21,Changeup,No,10.77313889,-1.740228009
2022-09-06,Martin,67.7,1:18,43,12.9,9.6,1636,73,1193,2,4.8,-2,1.2,22,Changeup,Yes,6.951305556,-0.2358113426
2022-09-06,Martin,70.7,0:58,26,18.3,10,2039,90,1833,2,4.8,-2,0.9,23,Changeup,Yes,-0.02769444444,1.161146991
2022-09-06,Martin,68.9,0:52,28,18.3,8.5,1909,88,1685,2,4.8,-2,1,24,Changeup,Yes,-0.02769444444,5.244563657
2022-09-06,Martin,65.8,7:14,56,-11,-10.3,2316,56,1301,3,4.9,-2,0.9,26,Curveball,No,-13.32102778,-14.31285301
2022-09-06,Martin,64.9,7:02,54,-13.2,-9.8,2315,59,1377,3,4.8,-2,1.1,28,Curveball,No,-13.32102778,-13.77556134
2022-09-06,Martin,68,7:46,72,-4.6,7.8,2103,32,664,3,4.9,-3,1.2,29,Curveball,No,-13.32102778,2.343188657
2022-09-06,Martin,66.8,7:38,70,-5.5,-8.3,2232,35,781,3,4.8,-1,1.3,30,Curveball,Yes,-6.175861111,-8.725019676
2022-09-06,Martin,66.7,7:48,67,-5.2,-9.4,2130,39,825,3,4.8,0,1.2,31,Curveball,Yes,1.467805556,3.525230324
2022-09-06,Martin,66.8,7:40,70,-5.3,-8.1,2276,34,771,3,4.9,-2,1.1,32,Curveball,No,-13.23794444,-13.13081134
12-4-2022,Martin,68.7,8:46,73,-0.5,-8.3,2061,29,604,3,5,0,1.8,,Slider,Yes,,
12-4-2022,Martin,68.9,9:04,72,0.6,-8.9,2143,31,668,3,5,1,1.8,,Slider,No,,
12-4-2022,Martin,69.5,9:02,61,0.6,-13,2260,48,1092,1,4.9,-2,1.9,,Slider,No,,
12-4-2022,Martin,69.2,7:56,69,-4.4,-8.8,2192,36,781,2,4.9,-2,1.9,,Slider,Yes,,
12-4-2022,Martin,70.3,9:20,80,1,-10,2107,18,375,2,4.9,-2,1.8,,Slider,Yes,,
12-4-2022,Martin,70.7,9:32,72,2.3,-8.3,2161,31,663,0,4.8,-4,1.8,,Slider,No,,
12-4-2022,Martin,69.8,9:06,81,0.4,-5,2136,15,323,3,5,-3,1.9,,Slider,No,,
12-4-2022,Martin,70.6,10:10,86,1.2,-2.8,2219,8,171,0,5,-3,1.9,,Slider,No,,
12-4-2022,Martin,69.3,9:30,78,1.6,-6.5,2258,21,469,0,4.9,-3,2,,Slider,No,,
12-4-2022,Martin,69.2,8:56,75,-0.1,-7.8,2294,26,589,2,5,-1,2.1,,Slider,Yes,,
12-4-2022,Martin,67.7,1:18,45,12.5,9.5,1884,71,1343,2,5,-4,1.8,,Changeup,Yes,,
12-4-2022,Martin,67.9,1:32,31,14,13.9,1788,86,1530,-1,4.9,-5,1.9,,Changeup,No,,
12-4-2022,Martin,69,1:02,34,16.3,9.5,1931,83,1601,2,5.1,-2,1.9,,Changeup,No,,
12-4-2022,Martin,70.7,1:32,32,13.6,14,1950,84,1646,2,4.9,-2,2,,Changeup,No,,
12-4-2022,Martin,68.8,1:08,34,15.7,10.4,2011,83,1668,1,5,-1,1.9,,Changeup,No,,
11-19-2022,Martin,69.4,9:10,74,0.9,-7.9,2040,27,554,3,5.1,2,0.9,,Curveball,No,,
11-19-2022,Martin,68.7,9:52,84,1.1,-3.7,2099,10,216,6,5.1,0,0.8,,Curveball,No,,
11-19-2022,Martin,69.2,10:32,84,1.9,-3,2089,10,212,1,5,-2,1,,Curveball,No,,
11-19-2022,Martin,66.2,8:32,72,-1.5,-9.1,2011,31,614,4,4.8,0,0.8,,Curveball,Yes,,
11-19-2022,Martin,69.7,11:44,73,7,-2.2,2049,28,582,2,5.2,-1,0.8,,Curveball,Yes,,
11-19-2022,Martin,66.2,10:12,71,4.9,-7.6,2026,33,668,4,5.2,0,1,,Curveball,Yes,,
11-19-2022,Martin,67.6,3:26,-75,-1.4,8.2,2774,25,704,3,5,-2,0.7,,Curveball,No,,
11-19-2022,Martin,69.5,10:36,71,5.7,-6.1,2092,32,671,3,5,-2,0.7,,Curveball,Yes,,
11-19-2022,Martin,69.5,0:00,74,6.5,-1.1,1986,28,552,4,4.9,1,0.9,,Curveball,No,,
11-19-2022,Martin,68.2,11:22,77,5,-3,1991,22,436,2,5,-1,0.8,,Curveball,Yes,,
11-19-2022,Martin,70.1,10:46,68,7.5,-6.7,2150,38,818,2,5.1,-2,0.8,,Curveball,Yes,,
11-19-2022,Martin,68.6,11:02,84,2.2,-2.6,1954,10,199,3,5,-2,0.9,,Curveball,No,,
11-19-2022,Martin,63.6,10:02,71,4.5,-8.3,1878,33,613,4,5.3,2,0.8,,Curveball,No,,
11-19-2022,Martin,65.2,10:46,75,5.3,-5.3,2030,26,520,2,5.1,-3,0.9,,Curveball,No,,
11-19-2022,Martin,69.8,11:42,73,6.7,-2.2,1991,29,567,1,5.1,-3,0.8,,Curveball,No,,
11-19-2022,Martin,71.5,1:22,44,11.6,9.4,1669,72,1198,0,5,0,1.1,,Changeup,No,,
11-19-2022,Martin,72.2,1:08,46,13.3,8.3,1815,70,1262,0,5.1,-2,0.7,,Changeup,Yes,,
11-19-2022,Martin,78.1,0:48,52,13.2,5.3,2224,62,1380,2,5.2,-1,0.6,,Changeup,Yes,,
11-19-2022,Martin,65.1,1:20,44,11.8,9.5,1597,72,1143,4,5.3,0,0.9,,Changeup,No,,
11-19-2022,Martin,68.9,1:04,55,10.7,6,1873,57,1067,1,5.1,-2,0.9,,Changeup,Yes,,
11-19-2022,Martin,69.6,1:16,46,12.4,9.3,1922,70,1338,0,5.1,-3,0.6,,Changeup,No,,
11-19-2022,Martin,68.4,1:28,47,11.4,10.3,1806,68,1235,2,5.2,1,0.9,,Changeup,No,,
11-19-2022,Martin,68.1,1:01,45,13.6,8.9,1889,71,1339,0,5,-2,0.9,,Changeup,No,,
12-4-2022,Martin,78.6,0:40,42,15.9,5.6,2181,75,1633,3,4.9,-1,1.7,,4 Seam Fastball,No,,
12-4-2022,Martin,79.4,1:00,38,15.8,8.6,2200,79,1732,1,5,-1,1.8,,4 Seam Fastball,No,,
12-4-2022,Martin,76.6,0:34,45,15.6,4.3,2179,71,1546,2,5.1,-1,1.7,,4 Seam Fastball,No,,
12-4-2022,Martin,80.6,0:52,38,16.5,7.7,2326,79,1842,-1,5,-4,1.8,,4 Seam Fastball,Yes,,
12-4-2022,Martin,78.3,0:42,49,14.3,4.9,2273,65,1488,0,5,-4,1.7,,4 Seam Fastball,No,,
12-4-2022,Martin,79.2,1:02,44,14.3,8.3,2224,73,1613,-1,5,-2,1.8,,4 Seam Fastball,Yes,,
12-4-2022,Martin,78.6,0:38,43,16.1,5.1,2220,73,1622,2,5.2,-2,1.8,,4 Seam Fastball,No,,
11-19-2022,Martin,72.6,11:46,71,7.7,-1.9,2151,32,686,0,5,-2,0.8,,Slider,No,,
11-19-2022,Martin,71.5,11:50,77,5.5,-1.7,2238,22,499,0,5,-2,0.9,,Slider,No,,
11-19-2022,Martin,70.8,9:02,79,0.3,-5.6,2064,18,377,1,5,-1,0.9,,Slider,Yes,,
11-19-2022,Martin,72.1,9:34,79,1.5,-5.6,2217,19,421,0,5,0,0.9,,Slider,Yes,,
11-19-2022,Martin,68.9,11:34,70,7.8,-2.9,1978,34,678,0,5.1,-1,1,,Slider,No,,
11-19-2022,Martin,68.3,11:50,74,6.8,-1.8,1928,27,526,1,5,-2,0.9,,Slider,No,,
11-19-2022,Martin,66.8,10:46,83,2.5,-3.2,1939,13,243,0,5.1,-3,0.8,,Slider,No,,
11-19-2022,Martin,78.3,0:52,36,16.6,7.8,2139,81,1728,0,5.1,-3,0.8,,4 Seam Fastball,Yes,,
11-19-2022,Martin,77.8,1:02,37,15.5,9,2111,80,1680,0,5.1,-1,0.9,,4 Seam Fastball,No,,
11-19-2022,Martin,78.4,0:30,42,16.5,4,2156,75,1615,1,5.1,-2,0.7,,4 Seam Fastball,Yes,,
11-19-2022,Martin,79.3,1:10,42,13.7,9.4,2240,74,1653,0,4.8,-1,0.9,,4 Seam Fastball,Yes,,
11-19-2022,Martin,76.8,0:40,52,13.8,4.4,2252,62,1395,1,5.2,-1,0.6,,4 Seam Fastball,Yes,,
11-19-2022,Martin,78.1,0:38,52,12.9,4,2164,61,1324,1,5.1,0,0.6,,4 Seam Fastball,No,,
11-19-2022,Martin,78.9,0:38,40,16.8,5.5,2262,76,1725,1,5.2,-1,0.6,,4 Seam Fastball,No,,
11-19-2022,Martin,78.5,0:54,37,16,7.9,2127,80,1692,0,5.1,-3,0.7,,4 Seam Fastball,Yes,,
11-19-2022,Martin,79.1,0:52,36,16.6,7.9,2186,81,1769,0,5.3,0,0.6,,4 Seam Fastball,Yes,,
11-19-2022,Martin,76.3,0:52,50,13.7,6.1,2151,65,1396,2,5.3,-1,0.7,,4 Seam Fastball,No,,
11-19-2022,Martin,72.5,0:52,50,13.4,5.8,2076,64,1332,2,5.1,-1,1,,4 Seam Fastball,Yes,,
11-19-2022,Martin,72.9,0:52,48,13.9,5.9,2111,66,1403,1,5.1,-2,0.6,,4 Seam Fastball,Yes,,
9-22-2022,Martin,64.5,9:32,81,1.3,-5.2,1908,16,310,2,5.5,-2,1.1,,Curveball,No,,
9-22-2022,Martin,60.8,7:48,58,-7.2,-12.2,2185,53,1160,4,5.4,1,1.3,,Curveball,No,,
9-22-2022,Martin,62.9,8:00,58,-5.8,-12.1,2064,53,1088,2,5.2,2,1.4,,Curveball,No,,
9-22-2022,Martin,67.1,8:44,73,-0.6,-7.9,2088,29,611,2,5.4,-2,1.3,,Curveball,Yes,,
9-22-2022,Martin,66.1,7:42,68,-5.6,-8.7,2116,38,802,2,5.3,-2,1.5,,Curveball,No,,
9-22-2022,Martin,66.2,8:00,69,-4.2,-9.1,2252,35,790,-1,5.4,-2,1.2,,Curveball,No,,
9-22-2022,Martin,67,8:42,81,-0.4,-5.1,2056,16,327,2,5.4,0,1.2,,Curveball,No,,
9-22-2022,Martin,64.1,7:40,68,-5.3,-8.3,2039,37,750,1,5.3,0,1.3,,Curveball,No,,
9-22-2022,Martin,65.3,9:06,61,1,-12.9,2136,49,1036,2,5.4,-2,1.2,,Curveball,No,,
9-22-2022,Martin,65.8,8:46,73,-0.5,-8.3,2146,29,614,3,5.3,-1,1.3,,Curveball,Yes,,
9-22-2022,Martin,68.4,1:04,58,9.7,5.3,1830,54,982,0,5.3,-2,1.2,,Changeup,Yes,,
9-22-2022,Martin,67.7,0:58,68,7.7,3.1,1949,38,742,0,5.3,-1,1.1,,Changeup,No,,
9-22-2022,Martin,68.5,1:24,44,11.9,10.2,1791,72,1292,1,5.2,-2,1.3,,Changeup,Yes,,
9-22-2022,Martin,70.2,1:16,48,12.1,9,1979,67,1333,1,5.3,-1,1.3,,Changeup,No,,
9-22-2022,Martin,69.5,1:26,52,9.9,8.5,1877,62,1163,1,5.3,-2,1.3,,Changeup,Yes,,
9-22-2022,Martin,69.1,0:40,55,12.5,3.7,1893,58,1099,0,5.3,-2,1.2,,Changeup,No,,
9-22-2022,Martin,71,1:10,41,13.2,8.9,1952,75,1464,-2,5.3,-2,1.4,,Changeup,No,,
9-22-2022,Martin,70.8,1:24,46,11.1,9.7,1994,69,1377,2,5.2,0,1.3,,Changeup,No,,
9-22-2022,Martin,69.1,1:10,48,11.6,7.4,1815,67,1207,-1,5.1,-2,1.3,,Changeup,No,,
9-22-2022,Martin,70.6,1:14,42,13.1,9.2,1851,74,1372,-2,5.3,-5,1.2,,Changeup,No,,
9-22-2022,Martin,69.4,11:34,75,5.8,-2.5,2077,25,529,0,5.2,0,1.1,,Slider,No,,
9-22-2022,Martin,66.8,8:54,73,-0.1,-8.3,2095,30,628,2,5.3,1,1.1,,Slider,No,,
9-22-2022,Martin,67.4,9:28,73,1.8,-7.6,1947,29,567,2,5.3,-1,1.1,,Slider,Yes,,
9-22-2022,Martin,66.1,9:34,81,1.3,-5,1987,16,325,3,5.4,-2,0.8,,Slider,No,,
9-22-2022,Martin,64.9,7:34,66,-6.6,-9.1,2124,41,878,3,5,2,1.2,,Slider,No,,
9-22-2022,Martin,66.7,9:06,74,0.6,-7.8,2121,28,596,3,5.3,0,1.2,,Slider,No,,
9-22-2022,Martin,65.5,8:36,73,-1,-8.1,2081,29,596,4,5.1,1,1.2,,Slider,No,,
9-22-2022,Martin,65.1,8:24,70,-2.2,-9,2036,34,686,1,5.2,1,1.4,,Slider,No,,
9-22-2022,Martin,69.1,9:46,76,2.5,-6.5,2138,25,525,-1,5.2,-2,1.1,,Slider,No,,
9-22-2022,Martin,66.6,8:44,81,-0.3,-5,2048,16,321,2,5.3,-2,1.2,,Slider,Yes,,
9-22-2022,Martin,75.1,0:54,38,15.1,7.4,2025,79,1591,0,5.4,0,0.8,,4 Seam Fastball,No,,
9-22-2022,Martin,76.2,0:34,42,15.8,4.3,2108,74,1567,1,5.4,-1,1.1,,4 Seam Fastball,No,,
9-22-2022,Martin,77,0:52,40,14.9,7.2,2098,76,1602,-2,5.2,1,1.1,,4 Seam Fastball,No,,
9-22-2022,Martin,77.5,0:50,28,17.2,7.9,2084,88,1840,-1,5.3,-1,1,,4 Seam Fastball,Yes,,
9-22-2022,Martin,76.6,1:12,40,13.4,9.3,2091,77,1606,1,5.2,-3,1.1,,4 Seam Fastball,No,,
9-22-2022,Martin,76.7,0:30,40,16.1,4.1,2066,76,1580,-1,5.3,-1,1,,4 Seam Fastball,No,,
9-22-2022,Martin,77.2,0:52,27,17.3,8.3,2049,89,1820,0,5.2,-2,1.1,,4 Seam Fastball,Yes,,
9-22-2022,Martin,76.6,0:30,43,15.8,3.9,2135,73,1568,-2,5.2,-2,1,,4 Seam Fastball,No,,
9-22-2022,Martin,77.2,0:52,38,15.4,7.2,2073,79,1635,-1,5.3,-1,1,,4 Seam Fastball,No,,
9-22-2022,Martin,77.3,0:38,41,15.8,5.1,2174,76,1645,1,5.3,-1,1.2,,4 Seam Fastball,No,,
9-22-2022,Martin,77,0:44,48,13.5,5.1,2152,66,1428,-1,5.2,-2,1.4,,4 Seam Fastball,Yes,,
9-22-2022,Martin,76.1,0:46,53,12.6,4.7,2126,61,1289,1,5.4,-1,1.1,,4 Seam Fastball,No,,
9-22-2022,Martin,77.4,0:56,39,14.9,7.4,2135,77,1653,-2,5.1,-1,1.4,,4 Seam Fastball,No,,
9-22-2022,Martin,76.5,1:01,43,13.4,8.9,2146,74,1581,0,5.2,-3,1.3,,4 Seam Fastball,Yes,,
9-22-2022,Martin,76.2,0:36,40,16.1,4.9,2122,76,1617,0,5.2,-1,1.4,,4 Seam Fastball,Yes,,
9-22-2022,Martin,74.6,1:08,42,13.3,8.5,2038,74,1513,-2,5.1,-3,1.2,,4 Seam Fastball,No,,
9-22-2022,Martin,73.4,1:00,34,16,8.8,1973,83,1636,1,5.2,-2,1.3,,4 Seam Fastball,No,,
9-22-2022,Martin,70.5,0:36,39,15.9,4.7,1929,78,1501,0,5.3,-2,1.2,,4 Seam Fastball,Yes,,
9-22-2022,Martin,70.5,1:06,35,14.7,9.1,1846,82,1521,-1,5.1,-3,1.3,,4 Seam Fastball,No,,
9-22-2022,Martin,71.1,0:58,34,16.2,8.7,1909,83,1581,0,5.4,-4,1.3,,4 Seam Fastball,No,,
9-22-2022,Martin,68.5,0:58,36,14.5,7.6,1682,80,1353,1,5.4,-1,1.2,,4 Seam Fastball,Yes,,
